Site Id,Sector id,Carrier Number DL (earfcn),Average User Throughput in DownLink (Mbps),Average DL PDCP Throughput (Mbit/s),Average UL PDCP Throughput (Mbit/s),Intra Frequency Handover Success Rate (%),Inter Frequency Handover Success Rate (%),Cell Availability,Scell Traffic Volume,Number of CSFB to GSM,DC_E_ERBS_EUTRANCELLFDD.pmPagDiscarded,Maximum Number of Users in a Cell,CA capable DL UE Payload(GB),PS E-UTRAN RRC Setup successful Ratio (%),DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeMan,IRAT/Session Continuity to 2G,PS Drop Call Rate_NUM,PS Drop Call Rate_DENOM,DL User Throughput(Mbps)_DENOM,Average User Throughput in UpLink (Mbps)_NUM,Average User Throughput in UpLink (Mbps)_DENOM
2,0,1.0,0.0243815810392124,0.4525043359039039,0.3269182188953523,0.969443664,0.9937176886,1.0,0.3142830692152306,0.4439212731895658,0.0,0.1345177664974619,0.1642315762637969,0.9995988769,0.0,0.25,0.1620065789473684,0.5325105195409261,0.1120391584622936,0.2111764082633618,0.1805249232424306
2,1,1.0,0.0310960364798287,0.4206431192205499,0.3113798349460293,0.9794181818,0.9812680115,1.0,0.2621529459170884,0.2069874752801582,0.0,0.0926395939086294,0.2337609013544419,0.9995368796,0.0,0.1063829787234042,0.1414473684210526,0.3452843250727443,0.0692984762921917,0.1470443568291028,0.0999215685910799
2,2,1.0,0.0274448928839802,0.4185883235171156,0.2661256199046345,0.9829239427,0.9889476539,1.0,0.2247106090406065,0.2051982295884734,0.0,0.1027918781725888,0.1721862507822017,0.9993689594,0.0,0.3123100303951368,0.1685855263157894,0.429605611864095,0.0832583494932989,0.1505119705177629,0.1389527953540441
3,0,0.0,0.0349085879785288,0.3844445560504039,0.3605064314453367,0.9812651532,0.9884169884,1.0,0.1519584081124013,0.0569733496562764,0.0,0.0456852791878172,0.2539954127096331,0.9992573032,0.0,0.0395136778115501,0.03125,0.0720250521920668,0.0488316740206636,0.0773810654184961,0.0311213959153435
3,1,0.0,0.0187399879215745,0.3308324381489274,0.2247251089785438,0.9738451221,0.9865236524,1.0,0.2806738257588422,0.1101798662774272,0.0,0.0723350253807106,0.1048879657479463,0.9983846964,0.0,0.1398176291793313,0.1611842105263158,0.176363213516934,0.1000050586737447,0.1586984024975487,0.1421474432193343
3,2,0.0,0.0221182927929319,0.3491300123571876,0.2632220455160582,0.9798640826,0.9780938834,1.0,0.101097844953245,0.0418118466898954,0.0,0.0596446700507614,0.2061388276867047,0.9995966115,0.0,0.0683890577507598,0.0805921052631579,0.0867929732711716,0.0784260301199977,0.1118027157531521,0.0792380916903846
3,0,1.0,0.0380945055430864,0.5007584476070341,0.3904300332207835,0.9835838949,0.9842368886,1.0,0.2240192231945555,0.1575477916941331,0.0,0.0888324873096446,0.2660635698984155,0.999451677,0.0,0.1884498480243161,0.1447368421052631,0.2856150010276158,0.0668923913957712,0.1273430415451422,0.0513028408417139
3,1,1.0,0.0508261585774256,0.7635040317080268,0.5813410633321922,0.9590804598,0.9901262916,1.0,0.0916431746995584,0.1493549298427347,0.0,0.1205583756345177,0.5853133823272387,0.9980410668,0.0,0.1063829787234042,0.115953947368421,0.3132037816262291,0.0797005831205931,0.122189664701401,0.0313236827987747
3,2,1.0,0.0241222141041474,0.4161365043142884,0.2527264185641147,0.9773125477,0.98582445,1.0,0.1955657360777771,0.1001977587343441,0.0,0.0913705583756345,0.1849980469134485,0.9997122948,0.0,0.2036474164133738,0.2105263157894736,0.2902987657793114,0.0914674571610936,0.1376883993519438,0.1210064573101789
4,0,1.0,0.1207291913630031,0.4705589238828353,0.3723253375063192,0.9919266055,0.9986091794,1.0,0.0,0.0660137489405782,0.0,0.0342639593908629,0.0248130519670468,0.9996527175,0.0,0.047112462006079,0.0427631578947368,0.0555074799614914,0.0075557470871504,0.0320528499528545,0.006497235535143
4,1,1.0,0.0488712651355614,0.6487885337139102,0.3536584720161871,0.9897075864,0.994456684,1.0,0.0,0.4127507298239005,0.0,0.149746192893401,0.0891881691702798,0.9998205822,0.0,0.1489361702127659,0.209703947368421,0.3832357999718758,0.0704680184862171,0.1447660371175973,0.0627221914958791
4,2,1.0,0.0148650367155367,0.9276716725746332,0.6270090392624011,0.9765281359,0.9958726415,1.0,0.0,0.5815048497975327,0.0,0.2296954314720812,0.2726668616289987,0.9996535884,0.0,0.2895136778115501,0.2960526315789473,0.4923307408569234,0.4523405426151064,0.3608495814005073,0.1234463523663324
4,0,0.0,0.050875460902299,0.3187138786739724,0.2141790413242223,0.9884892086,0.9981610135,1.0,0.0,0.1255297108955645,0.0,0.0291878172588832,0.015356559824046,0.9996937724,0.0,0.1717325227963526,0.0731907894736842,0.0756812011206421,0.0119783323456972,0.0344682730133778,0.0120081924861708
4,1,0.0,0.0301053184099518,0.439856118872244,0.2771383439240144,0.9945143595,0.9909805063,1.0,0.0,0.1149825783972125,0.0,0.0812182741116751,0.0538941006725199,0.9993538337,0.0,0.1588145896656534,0.1044407894736842,0.1569683169816219,0.0755316945035238,0.1145287166144874,0.051699791628867
4,2,0.0,0.012544790149541,0.3557006101862394,0.2688261881979711,0.9876266255,0.9833818927,1.0,0.0,0.2212072699877577,0.0,0.0901015228426395,0.0924068015326569,0.9991889533,0.0,0.2933130699088145,0.1644736842105263,0.2104421993142016,0.2027526681401938,0.1503554708583873,0.0802898691395312
5,0,1.0,0.0259657970621459,0.7312426971370868,0.4901116244165758,0.9815521362,0.9985052317,1.0,0.0296026137724823,0.1973820510405876,0.0,0.1256345177664974,0.1968960707175316,0.9992768198,0.0,0.4452887537993921,0.2006578947368421,0.3360222614038314,0.1781160861128402,0.3034390644271624,0.119119922291726
5,1,1.0,0.0313347153659072,0.8420173664196288,0.5370702667263405,0.9873638015,0.9961634942,1.0,0.1080996382112901,0.3283736698370844,0.0,0.1675126903553299,0.4398266560037194,0.9997037704,0.0,0.4407294832826747,0.2179276315789473,0.4697313055047757,0.1666441595165856,0.2738771299274247,0.0911306959823512
5,2,1.0,0.0413119190388806,0.6152311788078321,0.4480142010576007,0.9919148209,0.9970399605,1.0,0.0790014498684619,0.1857048686316978,0.0,0.1027918781725888,0.244266447257852,0.9996664443,0.0,0.2150455927051671,0.1381578947368421,0.237038519367854,0.0757401143229501,0.1233539073263044,0.038842072050203
